STATENAME	SURVYEAR	FIPST	TOTD9	AMD9M	AMD9F	AMD9	ASD9M	ASD9F	ASD9	HID9M	HID9F	HID9	BLD9M	BLD9F	BLD9	WHD9M	WHD9F	WHD9	TOTD10	AMD10M	AMD10F	AMD10	ASD10M	ASD10F	ASD10	HID10M	HID10F	HID10	BLD10M	BLD10F	BLD10	WHD10M	WHD10F	WHD10	TOTD11	AMD11M	AMD11F	AMD11	ASD11M	ASD11F	ASD11	HID11M	HID11F	HID11	BLD11M	BLD11F	BLD11	WHD11M	WHD11F	WHD11	TOTD12	AMD12M	AMD12F	AMD12	ASD12M	ASD12F	ASD12	HID12M	HID12F	HID12	BLD12M	BLD12F	BLD12	WHD12M	WHD12F	WHD12	TOTD912	TOTDAMM	TOTDAMF	TOTDAM	TOTDASM	TOTDASF	TOTDAS	TOTDHIM	TOTDHIF	TOTDHI	TOTDBLM	TOTDBLF	TOTDBL	TOTDWHM	TOTDWHF	TOTDWH	TOTDM	TOTDF	EBS9	EBSAM9M	EBSAM9F	EBSAM9	EBSAS9M	EBSAS9F	EBSAS9	EBSHI9M	EBSHI9F	EBSHI9	EBSBL9M	EBSBL9F	EBSBL9	EBSWH9M	EBSWH9F	EBSWH9	EBS10	EBSAM10M	EBSAM10F	EBSAM10	EBSAS10M	EBSAS10F	EBSAS10	EBSHI10M	EBSHI10F	EBSHI10	EBSBL10M	EBSBL10F	EBSBL10	EBSWH10M	EBSWH10F	EBSWH10	EBS11	EBSAM11M	EBSAM11F	EBSAM11	EBSAS11M	EBSAS11F	EBSAS11	EBSHI11M	EBSHI11F	EBSHI11	EBSBL11M	EBSBL11F	EBSBL11	EBSWH11M	EBSWH11F	EBSWH11	EBS12	EBSAM12M	EBSAM12F	EBSAM12	EBSAS12M	EBSAS12F	EBSAS12	EBSHI12M	EBSHI12F	EBSHI12	EBSBL12M	EBSBL12F	EBSBL12	EBSWH12M	EBSWH12F	EBSWH12	EBS912	EBSAMM	EBSAMF	EBSAM	EBSASM	EBSASF	EBSAS	EBSHIM	EBSHIF	EBSHI	EBSBLM	EBSBLF	EBSBL	EBSWHM	EBSWHF	EBSWH	EBSM	EBSF	DRP9	DRP10	DRP11	DRP12	DRP912	DRPAMM	DRPAMF	DRPAM	DRPASM	DRPASF	DRPAS	DRPHIM	DRPHIF	DRPHI	DRPBLM	DRPBLF	DRPBL	DRPWHM	DRPWHF	DRPWH	DRPM	DRPF	TOTDPL	AMDPL	ASDPL	HIDPL	BLDPL	WHDPL	AFGEB	AFGEBAM	AFGEBAS	AFGEBHI	AFGEBBL	AFGEBWH	AFGR	AFGRAM	AFGRAS	AFGRHI	AFGRBL	AFGRWH	TOTOHC	AMOHC	ASOHC	HIOHC	BLOHC	WHOHC	TOTEQUIV	AMEQUIV	ASEQUIV	HIEQUIV	BLEQUIV	WHEQUIV
Maine	2006-07	23	344	0	3	3	3	5	8	3	3	6	6	5	11	186	130	316	507	5	3	8	3	3	6	3	0	3	4	6	10	276	204	480	884	10	4	14	4	5	9	5	4	9	11	6	17	476	359	835	1,519	14	10	24	11	6	17	9	10	19	27	16	43	851	565	1,416	3,254	29	20	49	21	19	40	20	17	37	48	33	81	1,789	1,258	3,047	1,907	1,347	15,997	49	54	103	112	93	205	78	69	147	183	135	318	7,983	7,241	15,224	15,508	51	45	96	91	97	188	79	68	147	163	129	292	7,593	7,192	14,785	15,260	40	44	84	117	97	214	79	61	140	180	147	327	7,455	7,040	14,495	14,829	48	45	93	101	99	200	78	53	131	154	136	290	7,272	6,843	14,115	61,594	188	188	376	421	386	807	314	251	565	680	547	1,227	30,303	28,316	58,619	31,906	29,688	2.2	3.3	5.8	10.2	5.3	15.4	10.6	13.0	5.0	4.9	5.0	6.4	6.8	6.5	7.1	6.0	6.6	5.9	4.4	5.2	6.0	4.5	13,151	76	184	103	227	12,561	16,763	104	175	118	266	16,089	78.5	73.1	100.0	87.3	85.3	78.1	115	-1	2	2	20	91	872	16	8	43	39	726
Maryland	2006-07	24	3,585	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2,650	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2,185	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1,878	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10,298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	78,874	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68,921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64,124	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60,656	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	272,575	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.5	3.8	3.4	3.1	3.8	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	57,564	179	3,311	3,130	19,779	31,165	71,943	250	3,324	4,078	27,308	36,983	80.0	71.6	99.6	76.8	72.4	84.3	603	-1	17	33	268	285	2,143	15	47	104	587	1,181
Massachusetts	2006-07	25	3,224	6	3	9	57	46	103	568	454	1,022	284	189	473	904	674	1,578	2,827	6	7	13	41	38	79	541	406	947	231	152	383	802	562	1,364	2,599	7	5	12	47	38	85	378	325	703	207	156	363	815	568	1,383	2,781	4	3	7	49	31	80	403	297	700	270	164	434	893	627	1,520	11,431	23	18	41	194	153	347	1,886	1,480	3,366	991	660	1,651	3,397	2,415	5,812	6,513	4,745	82,225	135	132	267	1,852	1,723	3,575	6,442	5,794	12,236	4,149	3,812	7,961	29,032	27,517	56,549	75,458	88	114	202	1,806	1,654	3,460	4,972	4,819	9,791	3,316	3,177	6,493	27,576	26,583	54,159	72,709	100	93	193	1,690	1,534	3,224	4,114	4,157	8,271	3,016	3,106	6,122	27,157	26,475	53,632	67,651	82	77	159	1,606	1,543	3,149	3,303	3,564	6,867	2,593	2,776	5,369	25,760	25,406	51,166	298,043	404	414	818	6,881	6,399	13,280	18,783	18,259	37,042	13,040	12,833	25,873	108,367	104,680	213,047	148,789	144,056	3.9	3.7	3.6	4.1	3.8	5.7	4.3	5.0	2.8	2.4	2.6	10.0	8.1	9.1	7.6	5.1	6.4	3.1	2.3	2.7	4.4	3.3	63,903	141	3,004	5,918	4,791	49,287	79,047	226	3,577	9,130	7,273	58,840	80.8	62.4	84.0	64.8	65.9	83.8	859	7	41	271	155	363	2,841	17	87	364	237	1,774
Michigan	2006-07	26	8,289	52	33	85	61	34	95	314	234	548	2,792	1,934	4,726	1,655	1,121	2,776	10,347	69	43	112	161	112	273	341	290	631	2,848	1,979	4,827	2,618	1,823	4,441	8,851	72	46	118	85	71	156	272	222	494	2,072	1,518	3,590	2,544	1,889	4,433	13,291	104	84	188	103	82	185	388	271	659	2,626	2,154	4,780	4,490	2,918	7,408	40,778	297	206	503	409	299	708	1,313	1,014	2,327	10,337	7,585	17,922	11,288	7,740	19,028	23,667	16,858	155,364	771	711	1,482	1,607	1,397	3,004	3,412	2,969	6,381	19,544	17,775	37,319	55,287	50,419	105,706	145,988	655	609	1,264	1,543	1,481	3,024	2,881	2,642	5,523	15,250	15,363	30,613	54,089	50,459	104,548	130,645	600	572	1,172	1,507	1,430	2,937	2,151	2,069	4,220	10,979	11,987	22,966	50,370	48,161	98,531	118,754	523	541	1,064	1,460	1,427	2,887	1,746	1,809	3,555	8,099	9,307	17,406	47,501	45,612	93,113	550,751	2,529	2,410	4,939	6,113	5,731	11,844	10,178	9,484	19,662	53,861	54,413	108,274	206,868	194,245	401,113	279,975	266,740	5.3	7.1	6.8	11.2	7.4	11.7	8.5	10.2	6.7	5.2	6.0	12.9	10.7	11.8	19.2	13.9	16.6	5.5	4.0	4.7	8.5	6.3	111,838	949	2,711	3,213	17,945	86,495	145,212	1,753	2,812	5,096	29,928	105,284	77.0	54.1	96.4	63.0	60.0	82.2	618	4	22	33	54	500	2,849	52	35	132	538	1,846
Minnesota	2006-07	27	741	45	33	78	24	13	37	141	62	203	137	108	245	109	69	178	1,343	49	64	113	34	26	60	211	117	328	176	178	354	259	229	488	1,989	74	79	153	61	50	111	138	123	261	202	204	406	591	467	1,058	4,410	115	130	245	178	122	300	216	149	365	488	468	956	1,498	1,046	2,544	8,483	283	306	589	297	211	508	706	451	1,157	1,003	958	1,961	2,457	1,811	4,268	4,746	3,737	67,874	748	746	1,494	1,839	1,869	3,708	1,794	1,616	3,410	3,214	3,104	6,318	27,206	25,738	52,944	68,866	773	803	1,576	2,094	1,861	3,955	1,685	1,524	3,209	3,297	2,927	6,224	27,761	26,141	53,902	69,639	667	694	1,361	2,047	2,033	4,080	1,414	1,338	2,752	2,838	2,913	5,751	28,464	27,231	55,695	72,519	716	743	1,459	2,108	1,980	4,088	1,441	1,222	2,663	3,143	2,992	6,135	29,719	28,455	58,174	278,898	2,904	2,986	5,890	8,088	7,743	15,831	6,334	5,700	12,034	12,492	11,936	24,428	113,150	107,565	220,715	142,968	135,930	1.1	2.0	2.9	6.1	3.0	9.7	10.2	10.0	3.7	2.7	3.2	11.1	7.9	9.6	8.0	8.0	8.0	2.2	1.7	1.9	3.3	2.7	59,497	890	3,060	1,690	3,323	50,534	68,811	1,568	3,542	2,537	5,070	56,095	86.5	56.8	86.4	66.6	65.5	90.1	-2	-2	-2	-2	-2	-2	1,253	63	29	55	116	801
Mississippi	2006-07	28	1,778	0	4	4	6	3	9	17	11	28	765	443	1,208	340	189	529	1,664	3	0	3	3	3	6	21	6	27	637	389	1,026	348	254	602	1,397	0	5	5	9	3	12	6	8	14	446	294	740	366	260	626	1,076	3	0	3	5	3	8	3	4	7	339	266	605	234	219	453	5,915	6	9	15	23	12	35	47	29	76	2,187	1,392	3,579	1,288	922	2,210	3,551	2,364	42,823	34	46	80	166	134	300	324	276	600	11,468	10,823	22,291	10,116	9,401	19,517	36,184	29	40	69	166	141	307	227	201	428	8,752	9,460	18,212	8,777	8,354	17,131	30,606	14	36	50	151	165	316	172	160	332	6,768	7,955	14,723	7,397	7,750	15,147	27,051	17	22	39	94	137	231	110	124	234	5,947	7,407	13,354	6,507	6,653	13,160	136,664	94	144	238	577	577	1,154	833	761	1,594	32,935	35,645	68,580	32,797	32,158	64,955	67,236	69,285	4.2	4.6	4.6	4.0	4.3	6.4	6.3	6.3	4.0	2.1	3.0	5.6	3.8	4.8	6.6	3.9	5.2	3.9	2.9	3.4	5.3	3.4	24,186	39	243	227	11,437	12,240	38,057	68	289	342	19,070	18,289	63.6	57.4	84.1	66.4	60.0	66.9	2,046	3	4	4	1,452	583	3,410	29	30	49	729	2,490
Missouri	2006-07	29	2,432	9	3	12	18	5	23	87	63	150	603	478	1,081	739	427	1,166	2,688	3	7	10	19	8	27	73	57	130	434	351	785	1,000	736	1,736	2,958	9	6	15	23	6	29	77	51	128	406	294	700	1,084	1,002	2,086	2,610	11	8	19	14	12	26	59	43	102	397	307	704	1,011	748	1,759	10,688	32	24	56	74	31	105	296	214	510	1,840	1,430	3,270	3,834	2,913	6,747	6,076	4,612	81,671	201	180	381	596	531	1,127	1,237	1,108	2,345	8,875	7,861	16,736	31,624	29,458	61,082	73,311	137	177	314	535	542	1,077	1,053	948	2,001	6,342	6,507	12,849	29,147	27,923	57,070	67,341	143	146	289	546	514	1,060	854	803	1,657	5,139	5,529	10,668	27,270	26,397	53,667	63,755	108	132	240	557	507	1,064	756	756	1,512	4,709	5,201	9,910	25,822	25,207	51,029	286,078	589	635	1,224	2,234	2,094	4,328	3,900	3,615	7,515	25,065	25,098	50,163	113,863	108,985	222,848	145,651	140,427	3.0	3.7	4.4	4.1	3.7	5.4	3.8	4.6	3.3	1.5	2.4	7.6	5.9	6.8	7.3	5.7	6.5	3.4	2.7	3.0	4.2	3.3	60,275	222	1,035	1,371	8,970	48,677	73,624	245	926	1,582	13,040	57,830	81.9	90.6	100.0	86.7	68.8	84.2	-2	-2	-2	-2	-2	-2	3,506	45	34	98	405	2,746
Montana	2006-07	30	342	66	60	126	0	0	0	7	5	12	5	0	5	115	84	199	459	40	43	83	0	0	0	10	10	20	3	3	6	216	134	350	510	52	38	90	3	0	3	18	8	26	3	0	3	219	169	388	466	40	26	66	3	3	6	7	5	12	3	0	3	228	151	379	1,777	198	167	365	6	3	9	42	28	70	14	3	17	778	538	1,316	1,038	739	12,883	802	776	1,578	78	57	135	148	146	294	53	52	105	5,614	5,157	10,771	12,040	609	612	1,221	68	72	140	136	109	245	42	49	91	5,331	5,014	10,345	11,646	556	562	1,118	64	93	157	131	132	263	38	25	63	5,090	4,954	10,044	10,899	487	449	936	75	85	160	127	108	235	26	34	60	4,824	4,681	9,505	47,468	2,454	2,399	4,853	285	307	592	542	495	1,037	159	160	319	20,859	19,806	40,665	24,299	23,167	2.7	3.8	4.4	4.3	3.7	8.1	7.0	7.5	2.1	1.0	1.5	7.7	5.7	6.8	8.8	1.9	5.3	3.7	2.7	3.2	4.3	3.2	10,122	786	144	206	49	8,937	12,421	1,393	135	241	71	10,581	81.5	56.4	100.0	85.5	69.0	84.5	-2	-2	-2	-2	-2	-2	987	99	9	54	17	751
Nebraska	2006-07	31	448	13	17	30	0	0	0	57	63	120	69	68	137	95	66	161	587	19	15	34	3	0	3	85	62	147	83	56	139	144	120	264	686	12	14	26	5	3	8	61	50	111	78	58	136	225	180	405	873	12	12	24	11	7	18	77	53	130	75	48	123	354	224	578	2,594	56	58	114	19	10	29	280	228	508	305	230	535	818	590	1,408	1,478	1,116	24,459	227	231	458	186	177	363	1,485	1,377	2,862	1,239	1,114	2,353	9,622	8,801	18,423	23,346	180	178	358	199	172	371	1,195	1,156	2,351	826	817	1,643	9,604	9,019	18,623	22,479	158	156	314	187	191	378	896	897	1,793	706	649	1,355	9,559	9,080	18,639	21,527	122	134	256	214	209	423	775	768	1,543	567	565	1,132	9,387	8,786	18,173	91,811	687	699	1,386	786	749	1,535	4,351	4,198	8,549	3,338	3,145	6,483	38,172	35,686	73,858	47,334	44,477	1.8	2.5	3.1	4.1	2.8	8.2	8.3	8.2	2.4	1.3	1.9	6.4	5.4	5.9	9.1	7.3	8.3	2.1	1.7	1.9	3.1	2.5	19,873	211	346	1,290	1,226	16,800	23,017	374	355	1,927	1,681	18,680	86.3	56.4	97.5	66.9	72.9	89.9	160	5	2	10	13	130	678	25	14	55	56	500
Nevada	2006-07	32	1,857	15	6	21	42	29	71	440	446	886	142	140	282	325	272	597	1,582	16	12	28	35	31	66	374	327	701	131	95	226	309	252	561	1,085	13	14	27	35	25	60	223	182	405	67	82	149	238	206	444	1,646	13	8	21	79	67	146	315	276	591	137	95	232	333	323	656	6,170	57	40	97	191	152	343	1,352	1,231	2,583	477	412	889	1,205	1,053	2,258	3,282	2,888	41,149	368	348	716	1,532	1,372	2,904	7,692	6,670	14,362	2,664	2,392	5,056	9,496	8,615	18,111	33,777	301	268	569	1,433	1,286	2,719	5,288	5,070	10,358	2,072	1,853	3,925	8,347	7,859	16,206	25,182	197	183	380	1,123	1,095	2,218	3,159	3,436	6,595	1,253	1,383	2,636	6,760	6,593	13,353	21,262	153	171	324	985	1,006	1,991	2,422	2,641	5,063	1,096	1,186	2,282	5,727	5,875	11,602	121,370	1,019	970	1,989	5,073	4,759	9,832	18,561	17,817	36,378	7,085	6,814	13,899	30,330	28,942	59,272	62,068	59,302	4.5	4.7	4.3	7.7	5.1	5.6	4.1	4.9	3.8	3.2	3.5	7.3	6.9	7.1	6.7	6.0	6.4	4.0	3.6	3.8	5.3	4.9	17,149	252	1,678	3,620	1,449	10,150	31,626	-1	-1	-1	-1	-1	54.2	-1.0	-1.0	-1.0	-1.0	-1.0	2,495	49	164	865	499	918	1,561	37	57	265	92	857
New Hampshire	2006-07	33	107	0	0	0	0	0	0	3	3	6	0	0	0	68	33	101	361	3	3	6	0	0	0	11	7	18	7	5	12	193	132	325	623	0	3	3	0	3	3	11	16	27	10	7	17	327	246	573	1,086	8	3	11	6	0	6	15	10	25	19	6	25	605	414	1,019	2,177	11	9	20	6	3	9	40	36	76	36	18	54	1,193	825	2,018	1,286	891	17,915	24	23	47	122	136	258	261	234	495	145	145	290	8,601	8,136	16,737	16,914	25	21	46	136	141	277	231	218	449	110	106	216	8,165	7,744	15,909	16,698	20	21	41	156	134	290	203	188	391	121	111	232	8,029	7,702	15,731	15,471	18	18	36	116	135	251	155	161	316	116	105	221	7,303	7,335	14,638	66,998	87	83	170	530	546	1,076	850	801	1,651	492	467	959	32,098	30,917	63,015	34,057	32,814	0.6	2.1	3.7	7.0	3.2	12.6	10.8	11.8	1.1	0.5	0.8	4.7	4.5	4.6	7.3	3.9	5.6	3.7	2.7	3.2	3.8	2.7	14,452	31	237	188	257	13,739	17,699	60	233	375	227	16,803	81.7	51.7	100.0	50.1	100.0	81.8	98	-1	4	1	6	87	506	5	2	15	6	299
New Jersey	2006-07	34	1,762	3	3	6	23	12	35	400	274	674	347	296	643	233	169	402	2,007	3	3	6	16	19	35	419	333	752	349	297	646	321	246	567	1,995	3	4	7	24	14	38	353	265	618	305	229	534	463	333	796	1,775	4	3	7	34	16	50	271	192	463	213	171	384	516	352	868	7,539	13	13	26	97	61	158	1,443	1,064	2,507	1,214	993	2,207	1,533	1,100	2,633	4,300	3,231	102,395	100	94	194	3,821	3,338	7,159	10,456	9,573	20,029	10,030	9,767	19,797	28,341	26,808	55,149	100,544	97	74	171	3,822	3,459	7,281	9,565	8,910	18,475	9,113	9,021	18,134	28,872	27,549	56,421	94,124	81	88	169	3,670	3,320	6,990	7,745	7,850	15,595	7,731	8,062	15,793	28,369	27,123	55,492	89,389	88	99	187	3,578	3,156	6,734	6,811	7,136	13,947	6,813	7,464	14,277	27,804	26,373	54,177	386,452	366	355	721	14,891	13,273	28,164	34,577	33,469	68,046	33,687	34,314	68,001	113,386	107,853	221,239	196,907	189,264	1.7	2.0	2.1	2.0	2.0	3.6	3.7	3.6	0.7	0.5	0.6	4.2	3.2	3.7	3.6	2.9	3.2	1.4	1.0	1.2	2.2	1.7	93,013	197	7,243	13,507	14,359	57,416	110,254	216	7,181	18,172	19,702	64,983	84.4	91.2	100.0	74.3	72.9	88.4	-2	-2	-2	-2	-2	-2	2,751	13	52	491	458	1,283
New Mexico	2006-07	35	1,851	170	137	307	9	7	16	550	504	1,054	30	20	50	158	159	317	1,717	154	120	274	7	0	7	480	403	883	24	13	37	203	162	365	1,287	116	95	211	6	3	9	334	288	622	20	17	37	159	125	284	963	97	97	194	5	0	5	254	168	422	15	8	23	128	86	214	5,818	537	449	986	27	10	37	1,615	1,363	2,978	89	58	147	644	531	1,175	2,919	2,412	29,113	1,956	1,759	3,715	166	131	297	7,812	7,522	15,334	346	305	651	4,399	4,067	8,466	26,127	1,615	1,732	3,347	162	155	317	6,893	6,533	13,426	362	328	690	4,330	4,006	8,336	21,619	1,300	1,412	2,712	146	165	311	5,252	5,247	10,499	279	276	555	3,787	3,699	7,486	18,638	1,094	1,264	2,358	164	120	284	4,103	4,334	8,437	210	216	426	3,338	3,293	6,631	95,497	5,951	6,157	12,108	628	560	1,188	23,652	23,229	46,881	1,120	1,059	2,179	15,506	14,751	30,257	47,714	46,564	6.4	6.6	6.0	5.2	6.1	9.0	7.3	8.1	4.3	1.8	3.1	6.8	5.9	6.4	7.9	5.5	6.7	4.2	3.6	3.9	6.1	5.2	16,131	1,839	258	7,395	386	6,253	27,286	3,424	309	13,819	661	9,073	59.1	53.7	83.5	53.5	58.4	68.9	-1	-1	-1	-1	-1	-1	2,067	137	25	752	41	870
New York	2006-07	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35,588	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	677,026	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	5.3	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	168,333	-1	-1	-1	-1	-1	244,595	1,065	15,918	47,536	52,256	127,820	68.8	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	9,720	90	317	1,562	1,665	4,686
North Carolina	2006-07	37	8,009	114	68	182	54	14	68	602	422	1,023	2,108	1,104	3,211	2,132	1,231	3,363	6,237	76	68	144	33	21	54	365	280	641	1,358	902	2,259	1,774	1,219	2,993	5,621	62	50	107	43	25	67	227	213	439	1,077	714	1,791	1,695	1,390	3,085	3,752	19	21	37	27	12	39	113	122	234	655	458	1,113	1,225	1,021	2,246	23,619	251	170	421	125	61	186	-1	-1	-1	-1	-1	-1	-1	-1	-1	13,759	9,355	127,906	986	872	1,829	1,346	1,230	2,546	5,421	4,813	10,217	21,849	19,299	41,142	35,898	33,321	69,219	107,499	694	729	1,392	1,181	1,113	2,263	3,604	3,338	6,902	15,873	16,140	32,001	31,956	30,645	62,599	95,265	531	642	1,136	1,073	1,076	2,119	2,591	2,532	5,088	12,933	14,171	27,097	29,351	28,605	57,952	84,278	435	530	923	1,010	951	1,933	1,909	2,027	3,916	10,555	12,507	23,058	26,067	26,895	52,961	414,948	2,389	2,451	4,840	3,737	3,542	7,279	-1	-1	-1	-1	-1	-1	-1	-1	-1	205,263	201,436	6.3	5.8	5.9	4.5	5.7	10.5	6.9	8.7	3.3	1.7	2.6	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.7	4.6	76,031	861	1,824	3,364	20,526	48,226	110,854	1,601	2,160	5,791	35,365	65,937	68.6	53.8	84.4	58.1	58.0	73.1	-1	-1	-1	-1	-1	-1	3,964	48	29	136	734	2,629
North Dakota	2006-07	38	100	35	25	60	0	0	0	0	0	0	3	0	3	21	16	37	200	34	33	67	0	0	0	3	3	6	4	3	7	68	52	120	229	34	19	53	0	0	0	4	0	4	3	0	3	92	77	169	222	22	14	36	0	0	0	6	0	6	4	0	4	108	68	176	751	125	91	216	0	0	0	13	3	16	14	3	17	289	213	502	441	310	8,241	465	463	928	39	32	71	61	63	124	62	49	111	3,685	3,322	7,007	8,199	383	394	777	42	36	78	65	44	109	60	73	133	3,636	3,466	7,102	7,975	271	287	558	35	37	72	57	39	96	54	58	112	3,638	3,499	7,137	7,818	248	240	488	29	49	78	46	38	84	58	39	97	3,612	3,459	7,071	32,233	1,367	1,384	2,751	145	154	299	229	184	413	234	219	453	14,571	13,746	28,317	16,546	15,687	1.2	2.4	2.9	2.8	2.3	9.1	6.6	7.9	0.0	0.0	0.0	5.7	1.6	3.9	6.0	1.4	3.8	2.0	1.5	1.8	2.7	2.0	7,159	413	62	68	74	6,542	8,614	773	58	109	80	7,593	83.1	53.4	100.0	62.4	92.5	86.2	-2	-2	-2	-2	-2	-2	433	90	5	13	8	299
Ohio	2006-07	39	8,346	12	12	24	23	15	38	483	327	810	2,210	1,745	3,955	1,794	1,436	3,230	4,688	3	6	9	25	10	35	284	215	499	936	725	1,661	1,273	1,049	2,322	5,180	7	14	21	7	5	12	195	200	395	834	678	1,512	1,742	1,354	3,096	7,222	8	6	14	30	26	56	264	291	555	919	903	1,822	2,579	2,026	4,605	25,436	30	38	68	85	55	140	1,226	1,032	2,258	4,886	4,032	8,918	7,355	5,842	13,197	13,628	11,043	160,871	98	125	223	901	863	1,764	2,098	1,776	3,874	17,542	15,178	32,720	61,588	57,053	118,641	144,179	97	101	198	979	854	1,833	1,536	1,402	2,938	11,969	12,023	23,992	56,939	54,712	111,651	136,929	86	94	180	960	917	1,877	1,330	1,213	2,543	9,883	10,359	20,242	55,700	53,585	109,285	127,949	71	86	157	921	859	1,780	1,105	1,120	2,225	8,290	9,012	17,302	53,100	51,358	104,458	569,928	349	400	749	3,671	3,398	7,069	6,042	5,490	11,532	47,481	46,366	93,847	224,984	214,491	439,475	285,193	272,690	5.2	3.3	3.8	5.6	4.5	8.6	9.5	9.1	2.3	1.6	2.0	20.3	18.8	19.6	10.3	8.7	9.5	3.3	2.7	3.0	4.8	4.0	117,658	137	1,652	1,899	14,058	98,390	149,555	201	1,727	2,892	25,508	117,334	78.7	68.2	95.7	65.7	55.1	83.9	-2	-2	-2	-2	-2	-2	2,967	14	11	58	355	1,259
Oklahoma	2006-07	40	1,460	158	129	287	14	8	22	116	105	221	130	112	242	375	313	688	1,580	180	163	343	16	9	25	94	87	181	116	122	238	428	365	793	1,774	170	173	343	11	11	22	106	81	187	129	82	211	563	448	1,011	1,478	151	139	290	20	12	32	63	47	110	90	74	164	475	407	882	6,292	659	604	1,263	61	40	101	379	320	699	465	390	855	1,841	1,533	3,374	3,405	2,887	51,347	4,990	4,841	9,831	464	436	900	2,371	2,027	4,398	3,130	2,936	6,066	15,613	14,459	30,072	46,408	4,575	4,356	8,931	453	494	947	1,763	1,669	3,432	2,618	2,382	5,000	14,441	13,579	28,020	42,845	3,963	3,850	7,813	438	475	913	1,437	1,464	2,901	2,235	2,119	4,354	13,603	13,198	26,801	38,657	3,685	3,452	7,137	484	424	908	1,169	1,179	2,348	1,680	1,847	3,527	12,378	12,288	24,666	179,257	17,213	16,499	33,712	1,839	1,829	3,668	6,740	6,339	13,079	9,663	9,284	18,947	56,035	53,524	109,559	91,490	87,475	2.8	3.4	4.1	3.8	3.5	3.8	3.7	3.7	3.3	2.2	2.8	5.6	5.0	5.3	4.8	4.2	4.5	3.3	2.9	3.1	3.7	3.3	37,100	6,730	856	2,385	3,599	23,530	47,682	8,711	773	3,181	5,094	29,923	77.8	77.3	100.0	75.0	70.7	78.6	-2	-2	-2	-2	-2	-2	2,020	329	18	97	110	1,374
