SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR16	CE1	CE2	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR16	ICE1	ICE2
2017	01	AL	Alabama	-2	-2	1223602260	656494717	6968065	778998	0	31822	17744699	98831894	219220388	422556113	756432	0	2646174568	28418823	4350889769	13484879	814027545	303772	35820386	863636582	738432579	7889119742	2582188849	996372183	177982617	2266830	544408	270096884	5889212	20284868	4049192231	1838551447	249044053	120688237	47370811	35554424	249998878	175605978	80261333	306271625	161755385	172886742	72073882	1218853823	93010511	60575859	24861856	112681142	81588249	109952074	27630194	510299885	49101730	42570247	25417361	13241573	159010559	42896159	47159663	379397292	49029466	14900295	3158407	8774974	257272055	40876191	16131815	390143203	1088703	318512	273905	79977	6705964	76552800	1684451	86704312	5034895	4866930	48744333	1763986	427599	59877	3566995	64464615	446175480	298519309	182443290	442733300	660053847	366671043	166562549	2563158818	151506595	94766507	13961791	223797756	10418251	1088041	485120690	0	0	0	0	0	0	0	485120690	0	0	0	0	0	0	0	0	0	0	7097471739	490604174	42364801	1391313	534360288	172516932	223879502	396396434	7420652	31531	3294109	49548447	0	62502027	67261	115344583	146866681	7857707829	212807795	16616297	0	0	555200871	6542270868	698495	-2	698495	9366	744930	5596210657	946060211	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2017	02	AK	Alaska	-2	-2	319888901	176112023	244625	36799	0	0	1634146	8032021	10674046	37139840	0	0	553725602	0	1600510184	36617443	182472338	1985400	132969709	354044890	0	2508280676	721744177	414053585	61383435	297851	36799	57178912	4221133	11383668	1266041628	-1	-1	-1	-1	-1	98753143	47392054	14896632	93922587	77402037	6479933	41191430	380037816	58592384	26247874	8411906	44593145	56106886	5550923	26260556	225763674	22045265	103169135	7897913	3551353	61910277	66241018	18810401	283625362	3433219	18136279	990648	1758963	88227584	2360435	2997296	117904424	154634	949699	43804	11442	2673073	665143	1693361	6191156	783075	1579912	1658898	940359	195477	40749	1363976	6562446	183607086	196525254	33855997	144766407	283842261	80673058	90623659	1013893722	22198584	14574585	5807682	34159794	146962	78976	76819621	1409218	1180601	3494220	4797756	78265	70600	10952395	87772016	0	0	0	0	0	0	0	0	0	0	2367707366	117027969	37923537	3956794	158908300	37334150	77722857	115057007	7507321	36525	0	451216	0	0	0	451216	52554372	2545248244	46796680	0	0	0	65747372	2301959994	121110	121110	-2	19007	132737	2162374341	205333025	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2017	04	AZ	Arizona	3182392621	-2	-2	67114442	8097583	18033838	104742	2865	13578281	94036248	145667255	349954133	607402	0	3861552707	293019710	4778454233	4731821	1097568398	1575487	222593569	1326469275	1017627185	10259495925	3260105196	972152241	338867619	1947616	16373749	221550448	167044878	34342366	4828965486	2144996444	343961448	72606411	141134419	84808563	423903289	271644314	82932066	353820017	287162716	179919296	172671598	1772053296	127799954	79414471	34692536	98593363	102895431	66963848	57848300	568207903	112629431	65517614	48685002	33536442	430024819	73809262	142601873	906804443	13715581	15293382	2776412	8458535	273405097	50070159	11410645	375129811	2793396	27948884	4087594	3396957	53307238	70348353	26723716	188606138	9617250	2683322	4854896	8496965	4605983	1069502	15762185	47090103	687665505	434553103	173940912	502905322	1098094046	371832067	400294601	3669285556	119676979	40506108	88358371	218230671	15971698	359701	467131830	639473	185774	122658	328363	58300	25112	1301380	468433210	0	0	0	0	0	0	0	0	0	0	8966684252	502801299	298021940	46321192	847144431	251447333	624849038	876296371	88416677	1231419	0	3068358	808048	0	344459	3876406	717600024	10279378658	288123931	0	355361	0	536992522	8429691730	1011247	1011247	-2	8336	1113433	7484405723	945286010	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	A	R	R
2017	05	AR	Arkansas	1782061097	1049177	-2	6746863	11269463	5918257	161223	110599	9668691	49578335	96915572	81691686	41016	81966	2039265089	3178195	2950895107	28398579	581998479	0	15596290	625993348	377864090	5619331739	1876613635	530842325	124195959	13401180	7286351	201652942	18605564	22517544	2769223585	1191382639	189804932	88684751	168632670	24344290	173315678	221804509	69123530	195480041	140314424	94398547	67693133	962129862	47638579	58185676	19950546	54360980	44132825	26327146	19860260	270456012	39203907	74664077	22286341	4467588	174797715	28014829	44294778	387729235	6391142	56883348	3912559	3938307	139026396	32409094	16044903	258605749	627403	9958754	737851	189451	10034120	27637056	6170242	55354877	390215	3586815	9569799	610304	2162393	286165	3003246	19608937	266939521	415124425	124842775	258857220	500433753	181435781	150896320	1898529795	78119110	24895543	40555893	118818416	3269381	695064	263084026	1057518	246703	145456	4097410	20241	80127	5627214	268711240	0	0	0	0	0	0	0	0	0	0	4936464620	373887641	69071786	8647692	451607119	126557606	146206957	272764563	18366856	602303	0	10487643	1256604	0	80588	11744247	155652432	5496115796	159275431	0	0	0	317323006	4619141614	450084	-2	450084	10263	493447	4314761517	385439314	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R
2017	06	CA	California	24101039402	1079461463	168400	-2	2428494	440913569	14888124	0	427029279	377143245	0	3810587492	0	0	29812745899	0	50841071732	452171393	6724475482	14306917	264092680	7455046472	15621512053	88108864103	28385594541	11385175951	2364304314	935273418	562992405	2359696664	97835994	12017070	45442061958	19804366804	3480087606	314376629	772136928	668906574	2934586411	2816581698	358018486	3364316135	2815644146	633250454	1814032743	14736430073	1169998727	1089916444	152813254	1354312263	1294539006	298593238	784937932	6145110864	439945212	776321355	215431727	266511617	1538216708	609081807	801454380	4646962806	53502382	193838734	13343792	92660834	1924415925	138115152	179231797	2595108616	2208946	15576312	641711	7502386	89152227	116427254	83239703	314748539	396079	4221574	14167434	4537774	381058	92263	7945676	31741858	4598428811	4880879805	753774693	5082338623	7573196843	1679132914	3587602528	28155354217	932528136	436038336	108072300	1401144894	25081223	596840	2878380506	106713125	44394903	19128852	17384698	2498960	313167	187934745	3066315251	0	0	0	0	0	0	0	0	0	0	76663731426	6464967032	285670398	277555921	7028193351	2909164897	3886965497	6796130394	383796534	428477	0	540726331	0	0	2011883	540726331	1005831395	85059052718	1505763542	353768278	0	0	2253991683	74409739743	6022259	6022259	-2	12356	6309138	70250684049	6413047378	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	I	R	R
2017	08	CO	Colorado	4287369111	13011124	-2	-2	98220386	6012024	8855228	119669	40518277	96301284	181469118	536713372	5591279	2917544	5270966723	21133881	4602298815	97231469	587708287	0	21222089	706161845	597858866	10600561264	3421045158	1004243083	135158981	66347058	11469799	298385116	61563230	64634780	4989814176	2463003235	406900789	125584992	131693280	54085337	353264510	320683377	56745657	491555948	287446831	153115893	252649559	1915461775	100060657	83872071	16076978	134005076	94576322	51533489	72052950	552177543	36044774	74371788	59682813	27357442	238023213	41547108	277984672	755011810	10992949	31687762	4731887	19642922	194415548	18793019	40186655	320450742	2702792	13129741	3840394	7592287	26098313	28183439	31195393	112742359	2094720	2528010	7300622	6717184	120892	311824	8522711	27595963	502457610	513143008	144537957	679278572	814582806	265301333	651396547	3570697833	102189167	33889372	21595598	146914012	4116713	907505	305495654	29631463	9378494	2824072	4493196	1037339	1596218	47923443	353419097	0	0	0	0	0	0	0	0	0	0	8913931106	785676231	173650253	43379236	1002705720	458031536	782591319	1240622855	56190744	505664	0	21462092	0	0	448998	21462092	397443792	10174703965	151091966	313956	0	0	544760761	8369170345	814377	-2	814377	10277	905019	7642969193	443120458	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2017	09	CT	Connecticut	-2	-2	6431527935	-2	5345926	279573545	25000	14181486	365206	86207860	0	61518232	0	662832	6585652991	0	4494453268	53952242	432505345	0	17354120	503811707	1129376935	11583917966	3963986693	1899984017	217458399	531070442	77843208	103921599	50678492	6506491	6722927641	2408008761	419412792	53954326	161404595	-1	421905689	180810689	117006085	399057553	326435096	25510502	125322045	1596047659	203840281	83680665	60113480	193617589	167683472	14641300	71254813	794831600	52565905	47422458	51691224	20935710	253248536	484456947	66183467	976504247	6030489	21317965	4887047	8329394	167035561	12165115	9127042	228892613	1420290	17588597	1759915	2251236	36329919	3036579	7341013	69727549	426729	2219852	5508048	2177510	1292322	686345	6336133	18646939	684769093	335451629	239205884	624117756	915694987	537460209	278223500	3614923058	58795040	57098260	27491343	89005058	4080597	2116152	234505853	55382152	14697484	13112495	6013893	936282	3004527	92210551	326716404	0	0	0	0	0	0	21195293	0	0	0	10664567103	433870411	57693147	23673385	515236943	121627990	313274253	434902243	53084291	688956	31061641	40779756	0	0	0	71841397	207478408	11430841610	90327129	23288403	0	0	205857150	10458709953	514438	-2	514438	20330	535118	-1	-1	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	A	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	T	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R
2017	10	DE	Delaware	646621989	-2	-2	-2	0	43135678	0	0	5377459	16674931	1096325	547820498	0	0	1217591202	0	1323678086	8856304	178115044	0	1745666	188717014	104994499	2729986302	758278843	419881888	17908297	9423237	87517773	51863844	2297212	12196695	1269552804	484335844	135401765	15097952	23018836	4440199	36060716	23583897	14020991	82892968	60966805	18685530	38932979	275143886	19989715	12862440	7434686	45790160	33775606	12277527	21369174	153499308	33432829	34982	7830291	0	109521888	65717153	25516517	242053660	1144483	766206	2608881	8367	12411218	3879955	321170	21140280	1294657	0	0	0	563685	4650083	0	6508425	22248	290	0	0	0	0	47677	70215	90649991	37247815	31894849	128691495	216675517	100560165	86187517	691907349	27368239	5031445	4830066	30139015	1527164	399980	67768745	0	0	0	0	0	0	0	67768745	0	0	0	0	0	0	0	0	0	0	2029228898	73650903	57107649	864562	131623114	22061851	46951243	69013094	1953552	0	721706	51117535	0	0	0	51839241	68305012	2224977606	27963014	22885821	0	0	68620091	1960608807	128239	-2	128239	15289	136264	-1	-1	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2017	11	DC	District of Columbia	-2	-2	767117123	1445209063	0	0	743912	0	7536460	2284279	7885136	57058935	0	444266	2288279174	0	-2	36085875	201734444	0	0	237820319	25706564	2526099493	709164060	167435465	48003272	74460953	0	22171369	8874171	18698002	1039933121	415423033	125984465	5521107	15904766	4168138	62195290	68753495	44383035	109040036	48652828	66154330	31095027	430274041	11520216	6502535	8076051	18028097	10987100	17394554	5839188	78347741	9904931	18133351	57347998	3152355	99529313	8847215	8543733	205458896	1957011	2792337	3264412	1688832	6210799	19416134	393725	35723250	2158572	3881355	5573199	1436449	566657	328000	64421	14008653	438716	1058963	28471800	3040385	25355134	5446873	13070249	76882120	86016164	97240681	141543296	134949705	190735174	117259106	58941922	826686048	2736504	528544	49086745	1847805	381353	15229141	69428739	5000	413	364671	32279	0	401938	804301	70233040	0	0	0	0	0	0	0	0	0	0	1936852209	461304040	130698	24713971	486148709	139139808	98144901	237284709	995086	0	0	38354750	0	0	1073974	38354750	49182820	2486688905	36749398	2915561	0	0	51022552	1885829657	81960	-2	81960	23009	85850	1436458751	225561988	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2017	12	FL	Florida	11738747299	752732921	-2	-2	1317228	0	11733265	5554235	59465369	201263559	720266207	686758735	1194471	0	14173479054	0	11346674791	249376432	2869217820	83531114	86444163	3288569529	1351009109	28808723374	9375840057	2907839918	3366298485	203409	0	529448755	69599541	125650490	16305281114	5558082904	1801325985	213980383	355829320	159721810	813288825	1060183931	90669707	1103648507	861642382	522528933	367618200	4819580485	253282585	306265516	31441370	334108103	341254739	221642736	115025294	1603020343	73877150	171906675	35211800	15185399	655389724	125674947	167171509	1244417204	16472698	101780724	2277951	14179957	678811445	131481515	21264414	966268704	4959021	7092050	1039446	6279983	10881696	4341851	2901785	37495832	4160100	20597208	82923690	3512460	11727144	16451342	9351735	148723679	1161081358	1660734054	242524518	1470634426	2548825434	1017779473	680431152	8782010415	358888317	166640028	127813475	625754871	34359162	37746448	1316843139	0	0	0	0	0	0	0	1316843139	0	0	0	0	0	0	0	0	0	0	26404134668	1520062892	138282770	491652493	2149998155	613143063	865330828	1478473891	264672296	1180204	0	301388394	0	0	0	301388394	772570002	29262828252	698533526	136733655	0	0	1771041911	24633092757	2758785	2758785	-2	8929	2816791	23219950641	3184184025	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R
