SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR15	CE1	CE2	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR15	ICE1	ICE2
2016	01	AL	Alabama	-2	-2	1180585509	665194545	6609874	909574	0	23391	19054365	110647446	218161841	378342903	975505	0	2579571988	12198033	4148799310	13514979	803008127	495734	29047471	846066311	855478362	7586635642	2477403659	965948702	169352959	2327145	500788	284999927	8013604	19623339	3919655731	1766504335	239710646	115664918	44853748	48688199	237204992	172431956	78108639	292265370	155947929	163546371	69314794	1168820051	89133081	60245124	24187907	108525924	79401447	106300941	25793029	493587453	46191669	42844681	24620841	13862424	159967769	42773273	44140232	374400889	44766627	12341769	3233806	9655270	254231329	39604083	10701159	374534043	705846	527586	301977	95393	7213829	52749227	2232069	63825927	4664247	4894749	48662470	1804777	352211	45916	3987323	64411693	421960616	292758279	178813663	426113765	649900685	352270584	153936537	2475754129	147065570	93102102	13323371	236319578	7997345	456532	490267153	0	0	0	0	0	0	0	490267153	0	0	0	0	0	0	0	0	0	0	6885677013	535591262	48295558	4340300	588227120	177669998	348387974	526057972	4706051	102979	3212347	50165864	0	66329762	123016	119707973	132698729	7678381028	203222472	17336271	0	0	556953409	6328723604	697618	-2	697618	9072	743789	5910202726	975474286	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2016	02	AK	Alaska	-2	-2	315349481	173328113	278527	11550	0	0	5164603	8115483	10556351	60900760	0	0	573693318	0	1614053327	30349862	171726003	1390656	106126857	309593378	0	2497340023	711181788	414485101	58576963	202777	11550	56347631	6898801	10931460	1251725720	-1	-1	-1	-1	-1	97613683	46747879	14406764	84507269	75740819	6580901	40413029	366010344	58720670	26393780	8439274	51221588	55095813	5591836	27421525	232884486	21155916	95843419	7478441	3530455	59438671	62611509	20891834	270950245	2929078	11381923	867441	1920182	85530686	1328368	3842574	107800252	366023	706284	32104	276092	3178781	9705184	2178627	16443095	663029	1267065	1628722	892797	147924	30018	1605103	6234658	181082376	181634066	32820642	142072291	275953913	76142632	94174065	983879985	21742304	14025420	5536244	32756026	154472	52707	74112701	1392140	993819	2976807	4579558	2048	1254	9943578	84056279	0	0	0	0	0	0	0	0	0	0	2319661984	184302014	42541982	4665683	231509679	38131085	79082394	117213479	7145143	37276	0	338536	0	0	0	338536	70743357	2582191034	44420324	0	0	0	63370685	2256291299	120554	120554	-2	18716	132477	2182463228	137198756	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2016	04	AZ	Arizona	3050054813	-2	-2	64767081	6642156	19103374	82940	188795	10541547	92037839	140276580	585655022	606988	0	3950664966	287377497	4694392049	4080385	1099642575	1527597	187549923	1292800480	884995960	10225234992	3126186606	934002684	309607721	1665305	16037183	194855150	165640183	29816310	4596133776	2041139426	334083639	70350947	130133036	67702004	398133225	261721973	79514560	336278825	275952761	174516998	164652428	1690770770	119736350	74972324	34139353	94192634	98369252	63887135	57164039	542461087	104325821	65154600	46750961	31012188	397702332	73973625	131435738	850355265	14449705	15441113	2507121	8616607	272144358	47273811	12011844	372444559	3035982	28527225	4425617	3069884	46039119	63069093	25168677	173335597	8966914	1995302	5842711	6376633	2812269	699603	10903170	37596602	645612015	419285312	168754706	476476887	1046980972	360351172	376167219	3493628283	115866183	38623633	87493261	217864909	20193784	822503	460670489	560081	174438	127746	362244	129105	15855	1240364	461910853	0	0	0	0	0	0	0	0	0	0	8551672912	496841318	237599792	31661069	766102179	230069131	643045151	873114282	83754056	1533756	0	3701367	831725	0	96715	4533092	630190001	9766991379	295744673	0	0	0	535391176	8016281736	997670	997670	-2	8035	1100293	7138900158	893367045	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	A	R	R
2016	05	AR	Arkansas	1734494914	927091	-2	6240651	10552323	4750050	168524	116055	13295332	48970783	95925121	95937785	27733	113991	2006654248	1987057	2750454721	30319762	577453085	0	16512877	624285724	281033152	5383381750	1846356785	524988119	126959795	12057476	7624635	197711016	18277789	26004611	2734077802	1178851026	188668244	88061651	163896048	27324809	169435414	219771038	67280851	191815136	141713099	93114772	66769683	949899993	46650865	58195690	19532779	53491830	44673672	25833493	19602928	267981257	37392337	74093531	23824081	4595311	169862333	28907996	44842921	383518510	6205864	50486527	4941232	4066142	138047563	30628675	15110317	249486320	488557	12683614	939123	438776	9015587	28523603	5580796	57670056	452771	4125024	9097721	548563	1991540	290396	3866836	20372851	260137251	406671810	124676664	254516982	496288207	178775332	150192685	1871258931	79391562	25582813	36826074	118826505	3683965	567324	261194278	1013707	238167	174946	4201124	3987	54716	5682660	266876938	0	0	0	0	0	0	0	0	0	0	4872213671	379876318	63917960	15590344	459384622	131234422	130864040	262098462	17555521	139725	0	11885273	0	0	38177	11885273	159322003	5440852786	156281170	0	0	0	312039645	4560174026	449578	-2	449578	10143	492132	4491387684	380825987	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2016	06	CA	California	22245695626	1032896546	168400	-2	2237156	423119253	14414098	10484675	279981790	364963408	0	3601971453	0	0	27542328477	0	50967666332	411271086	6568588955	15396055	274376317	7269632413	11226180895	85779627222	27148051584	10154297406	2228376978	879923245	536680438	2185022513	75735785	11174456	42606846182	19149264118	3339020880	215021745	772174351	490066902	2741324215	2603737388	337532208	3153189130	2647326332	608539818	1720214007	13811863098	1003981805	946040734	136010980	1218310778	1180132697	276730666	714215792	5475423452	415166440	759678051	340221568	289731852	1474596292	547157218	709202943	4535754364	53647565	206942244	16639838	89349504	1867879816	133889928	169198309	2537547204	1640526	16449166	573732	6611526	98805909	90020590	85832401	299933850	414874	3506647	13912822	5099424	270806	128827	7957894	31291294	4214534899	4519905064	844317416	4755680688	7170205943	1566446457	3320788945	26391879412	900351957	418107665	107372864	1394244494	34407461	548712	2820625692	100196635	40826284	27020175	15409315	3748371	324893	183777302	3004402994	0	0	0	0	0	0	0	0	0	0	72003128588	5920489620	281780976	234375601	6436646197	2720037031	3123086031	5843123062	355892801	431557	0	479070002	0	0	950626	479070002	931364227	79689945238	1466851181	377371350	0	0	2225837193	69777291395	6031796	6031796	-2	11568	6304741	65983354310	6019774273	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	A	R	R
2016	08	CO	Colorado	4136014544	14106980	-2	-2	89424704	5971861	9543479	88971	17579074	91212286	172005735	478281288	5567324	2893981	5016629395	22132881	4475646041	102227547	601742705	0	18629752	722600004	571521028	10237008321	3348613206	953905899	133253278	63121343	10235743	304275092	55334860	69568626	4872737444	2418131044	390643710	126295603	123402077	58345123	317112904	329988955	56645126	455702025	282676540	147783258	259251141	1849159949	88952011	81434371	15341708	124864794	90843648	48849798	69012442	519298772	35978112	77385775	62348245	28899794	230590400	35830268	266347198	737379792	8886244	30177384	3697028	17186196	187953467	17004881	34451626	299356826	3226691	16601236	6590257	5906055	22733223	25582652	33902169	114542283	1730957	4555471	7652099	2491602	248894	158000	9254180	26091203	452660228	523541956	145684206	629144411	792312949	249626205	638316587	3431286542	99420210	31699684	20613685	145197933	5109428	930638	297862150	28646885	8735678	2986351	4636939	1020297	1477450	46483303	344345453	0	0	0	0	0	0	0	0	0	0	8648369439	575288325	112027246	29036492	716352063	419231811	917912448	1337144259	56628893	425907	0	20248863	0	0	730084	20248863	318226597	9618762117	158305865	481969	0	0	529435343	8118934096	814441	-2	814441	9969	899112	7441858689	459212322	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2016	09	CT	Connecticut	-2	-2	6319777576	-2	4666169	275808684	33830	13438143	395191	83045390	0	65278070	0	668593	6473864819	0	4718877682	58358480	429690136	0	16592240	504640856	1062379228	11697383357	3909375279	1885229839	220156630	521599302	58242484	112589250	64424785	5524352	6654474652	2422735953	421361979	51725101	156750712	-1	413695957	176924818	112892031	392548521	319941260	25546853	128822097	1570371537	202847987	81267083	58968602	187533279	164825696	14684530	71477407	781604584	52626490	49977276	53012287	21727327	256566219	469583436	61224858	964717893	8275420	22669761	4853558	10082536	166506218	15792660	7599326	235779479	2655319	16854161	2741122	2702258	41338848	3479867	9262562	79034137	417008	1699954	4718305	2164772	5139113	553125	4066753	18759030	677862862	332538892	234444783	614056435	912978506	526160604	273190441	3571232523	63247349	48421644	27542960	95327006	4092399	2308475	236847434	53445752	13949027	13529033	5715419	981148	2133557	88772788	325620222	0	0	0	0	0	0	23904130	0	0	0	10551327397	655507881	77261173	37193757	769962811	118074953	334503140	452578093	53870870	719982	31018313	41136950	0	0	0	72155263	263707381	11596568792	88610827	27410415	0	0	204435224	10346892173	517742	-2	517742	19985	537933	-1	-1	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	A	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	T	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R
2016	10	DE	Delaware	470778925	-2	-2	-2	0	24448749	0	0	2464257	12963262	910823	263302722	0	0	750419989	0	1257941334	9501818	172827250	0	214653	182543721	127524244	2190905044	732115795	382812157	13610754	13207304	71842505	55001526	2436988	21236452	1217983988	467196635	128943148	14751127	22912920	6236108	32447652	23327145	14711873	78906859	58840509	17981060	37124585	263339683	17175683	12132569	7442485	41757015	31108186	11483273	19981497	141080708	30932565	555439	5299913	5550	104975563	62786780	27846328	232402138	908147	1204634	2247097	0	11776566	3213281	265708	19615433	2666366	0	0	0	717319	3386667	0	6770352	28637	3796	0	0	0	0	678289	710722	81492684	37223583	29701368	120669424	206700824	95464394	85896407	657148684	26765090	4920561	4723620	29474803	1493508	391166	66275240	0	0	0	0	0	0	0	66275240	0	0	0	0	0	0	0	0	0	0	1941407912	97425568	4208984	1032260	102666812	23337116	46800065	70137181	1841655	0	657683	48272584	0	0	0	48930267	15942092	2105547494	26121452	21378628	0	0	61374165	1880033747	128145	-2	128145	14671	134847	-1	-1	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2016	11	DC	District of Columbia	-2	-2	674086580	1287242274	14704	0	364309	0	3464473	2152803	8337314	72094355	1068	334915	2048092795	0	-2	44680300	181507008	0	21425	226208733	1373710	2274301528	687092381	139236478	41722971	74414869	0	24851594	9743872	16995188	984313481	402150271	120389685	5679851	14483763	4141920	57802315	37797864	33075037	99734179	46499781	63466268	29505489	367880933	10731993	6096622	6251575	16476461	9992548	17896533	5656700	73102432	9179764	15104201	85643550	1006644	51643784	8528676	8407679	179514298	1606698	1846901	3469485	1374591	9203245	19450092	269412	37220424	1892791	602172	4205469	535952	503349	350000	37648	8127381	413239	1095797	22007003	2337136	20162428	8058956	13464503	67539062	79734009	61941385	150446650	120929011	137501786	117400525	57303783	725257149	2589153	502070	44668566	1964039	467627	14155691	63879519	18800	2009	38921	0	0	2323451	2383181	66262700	0	0	0	0	0	0	0	0	0	0	1775833330	352813308	1550938	19530777	373895023	140584650	79025056	219609706	839193	0	0	35484477	0	6538022	1244528	42022499	40665123	2212173453	34173623	3816364	2493555	0	51688655	1724144675	79777	-2	79777	21612	84024	-1	-1	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2016	12	FL	Florida	11469114343	630766533	-2	-2	1569213	0	11946956	5603048	78285572	207063141	688726506	646035724	1235180	0	13734743168	0	10963798026	251322091	2814167109	81834391	83385071	3230708662	1497698039	27929249856	9227637998	2794944288	3131946376	0	0	487809517	64102752	120763321	15763101500	5551163375	1741445649	205288607	334291725	151540914	798508334	1044273444	88696014	1070499772	841047915	501195682	373008983	4717230144	244526015	295200739	30658232	321212619	326486897	210572163	115656560	1544313225	76438658	163109220	35291767	14699998	640695244	117644369	160310423	1208189679	17106002	102430347	2384781	13150321	689065698	122584843	21132426	967854418	4638883	6612663	961842	5791090	10199531	3937540	2775315	34916864	3564301	21878966	79998247	4368019	10849999	15760534	12260680	148680746	1140143310	1626892716	237029041	1423930729	2508145753	967757591	682369072	8586268212	343662313	158989795	124086151	610429575	32667621	34701484	1271869318	0	0	0	0	0	0	0	1271869318	0	0	0	0	0	0	0	0	0	0	25621239030	1272148318	100553069	477808340	1850509727	722904440	878105849	1601010289	278703450	1172245	0	291018300	0	0	0	291018300	711220891	28174329989	680811550	146581685	0	0	1737934231	23883304799	2743908	2743908	-2	8704	2792234	22506106208	3115132821	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R
