FIPST	SURVYEAR	STATENAME	TOTD9	AMD9M	AMD9F	AMD9	ASD9M	ASD9F	ASD9	HID9M	HID9F	HID9	BLD9M	BLD9F	BLD9	WHD9M	WHD9F	WHD9	HPD9M	HPD9F	HPD9	TRD9M	TRD9F	TRD9	TOTD10	AMD10M	AMD10F	AMD10	ASD10M	ASD10F	ASD10	HID10M	HID10F	HID10	BLD10M	BLD10F	BLD10	WHD10M	WHD10F	WHD10	HPD10M	HPD10F	HPD10	TRD10M	TRD10F	TRD10	TOTD11	AMD11M	AMD11F	AMD11	ASD11M	ASD11F	ASD11	HID11M	HID11F	HID11	BLD11M	BLD11F	BLD11	WHD11M	WHD11F	WHD11	HPD11M	HPD11F	HPD11	TRD11M	TRD11F	TRD11	TOTD12	AMD12M	AMD12F	AMD12	ASD12M	ASD12F	ASD12	HID12M	HID12F	HID12	BLD12M	BLD12F	BLD12	WHD12M	WHD12F	WHD12	HPD12M	HPD12F	HPD12	TRD12M	TRD12F	TRD12	AMDUGM	AMDUGF	ASDUGM	ASDUGF	HIDUGM	HIDUGF	BLDUGM	BLDUGF	WHDUGM	WHDUGF	HPDUGM	HPDUGF	TRDUGM	TRDUGF	TOTD912	TOTDAMM	TOTDAMF	TOTDAM	TOTDASM	TOTDASF	TOTDAS	TOTDHIM	TOTDHIF	TOTDHI	TOTDBLM	TOTDBLF	TOTDBL	TOTDWHM	TOTDWHF	TOTDWH	TOTDHPM	TOTDHPF	TOTDHP	TOTDTRM	TOTDTRF	TOTDTR	TOTDM	TOTDF	G9	G10	G11	G12	EBS912	EBSAM	EBSAS	EBSHI	EBSBL	EBSWH	EBSHP	EBSTR	DRP9	DRP10	DRP11	DRP12	DRP912	DRPAM	DRPAS	DRPHI	DRPBL	DRPWH	DRPHP	DRPTR	TOTDPL	AMDPLM	AMDPLF	AMDPL	ASDPLM	ASDPLF	ASDPL	HIDPLM	HIDPLF	HIDPL	BLDPLM	BLDPLF	BLDPL	WHDPLM	WHDPLF	WHDPL	HPDPLM	HPDPLF	HPDPL	TRDPLM	TRDPLF	TRDPL	DPLM	DPLF	AFGEB	AFGEBAM	AFGEBAS	AFGEBHI	AFGEBBL	AFGEBWH	AFGR	AFGRAM	AFGRAS	AFGRHI	AFGRBL	AFGRWH	TOTOHC	AMOHCM	AMOHCF	AMOHC	ASOHCM	ASOHCF	ASOHC	HIOHCM	HIOHCF	HIOHC	BLOHCM	BLOHCF	BLOHC	WHOHCM	WHOHCF	WHOHC	HPOHCM	HPOHCF	HPOHC	TROHCM	TROHCF	TROHC	RACECAT
35	2009-10	New Mexico	2229	212	174	386	11	8	19	821	578	1399	46	18	64	204	150	354	0	0	0	7	0	7	2075	160	122	282	12	3	15	724	535	1259	26	25	51	266	192	458	0	0	0	5	5	10	1484	108	97	205	7	8	15	457	377	834	30	16	46	213	162	375	0	0	0	6	3	9	1021	87	82	169	3	3	6	310	249	559	18	18	36	145	97	242	0	0	0	5	4	9	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	6809	567	475	1042	33	21	55	2312	1739	4051	120	77	197	828	601	1429	1	0	0	23	11	36	3884	2924	29715	26763	22448	20150	99076	11813	1196	56207	2180	26905	10	765	7.5	7.8	6.6	5.1	6.9	8.8	4.6	7.2	9.0	5.3	0.0	4.7	18595	1069	1113	2182	154	137	291	4527	5090	9617	199	204	403	2917	3058	5975	1	0	1	67	59	126	17868	19322	27614	3439	307	14718	678	8472	67.3	63.4	94.8	65.3	59.4	70.5	533	25	53	78	4	1	5	170	212	382	5	8	13	27	27	54	0	0	0	0	1	1	7
36	2009-10	New York	7354	36	19	55	260	95	355	1771	1047	2818	1842	1161	3003	690	405	1095	-2	-2	-2	-2	-2	-2	8222	41	22	63	320	170	490	1682	1236	2918	1651	1302	2953	1025	754	1779	-2	-2	-2	-2	-2	-2	6674	26	22	48	206	103	309	1119	930	2049	1155	1023	2178	1187	886	2073	-2	-2	-2	-2	-2	-2	8931	29	29	58	252	189	441	1363	1340	2703	1415	1402	2817	1656	1228	2884	-2	-2	-2	-2	-2	-2	2	4	15	7	160	69	168	88	117	83	-2	-2	-2	-2	31867	132	92	230	1038	557	1616	5935	4553	10708	6063	4888	11197	4558	3273	8023	-2	-2	-2	-2	-2	-2	17726	13363	238626	234375	196709	188377	895597	4088	68543	181533	171308	467417	-2	-2	3.1	3.5	3.4	4.7	3.6	5.6	2.4	5.9	6.5	1.7	-2.0	-2.0	183826	361	366	727	7624	7434	15058	14609	16300	30909	14670	16939	31609	53031	52083	105114	-2	-2	-2	-2	-2	-2	180590	186244	241984	1217	16342	50914	51257	121295	76.0	59.7	92.1	60.7	61.7	86.7	5600	27	12	39	97	71	168	797	501	1298	1079	601	1680	1474	938	2412	-2	-2	-2	-2	-2	-2	5
37	2009-10	North Carolina	6553	101	37	138	39	17	56	506	348	854	1751	965	2716	1619	969	2588	-2	-2	-2	-2	-2	-2	5535	74	47	121	33	24	57	309	275	584	1351	758	2109	1461	1053	2514	-2	-2	-2	-2	-2	-2	4769	42	30	72	30	24	54	218	213	431	888	672	1560	1364	1149	2513	-2	-2	-2	-2	-2	-2	3338	12	15	27	25	21	46	154	110	264	554	455	1009	1051	862	1913	-2	-2	-2	-2	-2	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	-2	20195	229	129	357	127	86	213	1187	946	2133	4544	2850	7394	5495	4033	9528	-2	-2	-2	-2	-2	-2	11582	8044	128454	111955	100204	88983	429752	5862	10593	34776	137524	240996	-2	-2	5.1	4.9	4.8	3.8	4.7	6.1	2.0	6.1	5.4	4.0	-2.0	-2.0	88704	610	633	1243	1119	1124	2243	2734	2947	5681	11777	13404	25181	25878	26461	52339	-2	-2	-2	-2	-2	-2	84236	89138	115374	1653	2409	8426	36217	64916	76.9	75.2	93.1	67.4	69.5	80.6	961	11	6	17	7	21	28	35	16	51	286	152	438	245	159	404	-2	-2	-2	-2	-2	-2	5
38	2009-10	North Dakota	40	8	18	26	0	0	0	0	0	0	0	0	0	8	6	14	-2	-2	-2	-2	-2	-2	174	27	23	50	0	3	3	4	0	4	0	3	3	79	35	114	-2	-2	-2	-2	-2	-2	207	25	21	46	0	0	0	7	3	10	5	0	5	80	66	146	-2	-2	-2	-2	-2	-2	259	42	39	81	0	0	0	3	3	6	4	3	7	98	67	165	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	680	102	101	204	1	5	3	14	7	20	11	7	15	265	174	437	-2	-2	-2	-2	-2	-2	393	294	7588	7701	7571	7637	30497	2736	345	568	572	26276	-2	-2	0.5	2.3	2.7	3.4	2.2	7.5	0.9	3.5	2.6	1.7	-2.0	-2.0	7155	247	242	489	44	32	76	38	52	90	66	70	136	3247	3117	6364	-2	-2	-2	-2	-2	-2	7284	7026	8097	812	71	135	111	6968	88.4	60.2	100.0	66.7	100.0	91.3	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5
39	2009-10	Ohio	6968	11	14	25	14	13	27	183	145	328	1904	1507	3411	1546	1285	2831	-2	-2	-2	-2	-2	-2	3853	8	6	14	6	7	13	113	75	188	930	707	1637	1039	799	1838	-2	-2	-2	-2	-2	-2	4574	5	7	12	10	12	22	104	78	182	755	729	1484	1480	1192	2672	-2	-2	-2	-2	-2	-2	7011	5	8	13	23	26	49	136	123	259	1028	1178	2206	2271	2001	4272	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	22406	29	35	61	53	58	108	536	421	957	4617	4121	8738	6336	5277	11613	-2	-2	-2	-2	-2	-2	11571	9912	156711	139964	123404	118872	538951	779	7904	12950	93294	408574	-2	-2	4.4	2.8	3.7	5.9	4.2	7.8	1.4	7.4	9.4	2.8	-2.0	-2.0	123437	70	95	165	855	840	1695	1148	1166	2314	7889	8685	16574	50318	49607	99925	-2	-2	-2	-2	-2	-2	120560	120786	151674	204	1735	3419	27514	115487	81.4	80.9	97.7	67.7	60.2	86.5	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5
40	2009-10	Oklahoma	949	121	68	189	6	5	11	86	68	154	111	82	193	232	170	402	-2	-2	-2	-2	-2	-2	1062	102	101	203	8	0	8	94	67	161	76	81	157	298	235	533	-2	-2	-2	-2	-2	-2	1188	124	106	230	10	10	20	70	67	137	84	69	153	372	276	648	-2	-2	-2	-2	-2	-2	1086	126	105	231	3	5	8	46	60	106	76	59	135	332	274	606	-2	-2	-2	-2	-2	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	-2	4285	473	380	853	27	20	45	296	262	558	347	291	638	1234	955	2189	-2	-2	-2	-2	-2	-2	2377	1908	48847	45882	42591	40046	177823	34084	4006	16031	19606	104096	-2	-2	1.9	2.3	2.8	2.7	2.4	2.5	1.1	3.5	3.3	2.1	-2.0	-2.0	38503	3594	3687	7281	547	516	1063	1411	1459	2870	1839	1958	3797	11864	11628	23492	-2	-2	-2	-2	-2	-2	38510	38496	49032	9464	888	4060	5516	29103	78.5	76.9	100.0	70.7	68.8	80.7	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5
41	2009-10	Oregon	465	8	6	14	3	4	7	61	42	103	9	16	25	155	154	309	-2	-2	-2	-2	-2	-2	771	16	10	26	12	0	12	106	83	189	18	20	38	265	206	471	-2	-2	-2	-2	-2	-2	1451	34	24	58	17	14	31	203	134	337	30	33	63	515	388	903	-2	-2	-2	-2	-2	-2	3299	80	66	146	39	26	65	501	269	770	124	78	202	1158	808	1966	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5986	138	106	245	71	45	113	871	528	1399	181	147	329	2093	1556	3649	-2	-2	-2	-2	-2	-2	3354	2382	44788	44090	43422	46088	178388	3657	8196	29671	5275	126140	-2	-2	1.0	1.7	3.3	7.2	3.4	6.7	1.4	4.7	6.2	2.9	-2.0	-2.0	34671	293	323	616	844	859	1703	2310	2590	4900	442	451	893	12689	12986	25675	-2	-2	-2	-2	-2	-2	33156	34418	45425	1049	2036	6482	1355	33203	76.3	58.7	83.6	75.6	65.9	77.3	1437	19	17	36	23	24	47	136	87	223	45	45	90	583	423	1006	-2	-2	-2	-2	-2	-2	5
42	2009-10	Pennsylvania	1643	0	0	0	23	12	35	225	166	391	323	309	632	318	248	566	-2	-2	-2	-2	-2	-2	3029	3	0	3	32	20	52	395	294	689	542	392	934	846	482	1328	-2	-2	-2	-2	-2	-2	3268	3	5	8	34	26	60	294	221	515	447	352	799	1063	800	1863	-2	-2	-2	-2	-2	-2	4302	5	5	10	28	27	55	264	206	470	547	422	969	1581	1175	2756	-2	-2	-2	-2	-2	-2	0	0	0	0	0	1	6	6	10	7	-2	-2	-2	-2	12271	11	11	21	117	85	201	1178	887	2066	1859	1475	3346	3808	2705	6529	-2	-2	-2	-2	-2	-2	6973	5163	151739	149834	141898	140845	585168	970	15964	40325	89789	434551	-2	-2	1.1	2.0	2.3	3.1	2.1	2.2	1.3	5.1	3.7	1.5	-2.0	-2.0	131182	102	96	198	1792	1738	3530	3384	3671	7055	8304	9449	17753	51811	50246	102057	-2	-2	-2	-2	-2	-2	130786	130400	156013	269	3518	10016	25984	116085	84.1	73.6	100.0	70.4	68.3	87.9	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5
44	2009-10	Rhode Island	573	3	3	6	18	11	29	111	71	182	58	29	87	159	110	269	-2	-2	-2	-2	-2	-2	613	3	4	7	14	3	17	114	65	179	58	35	93	186	131	317	-2	-2	-2	-2	-2	-2	509	4	7	11	6	8	14	67	48	115	41	22	63	180	126	306	-2	-2	-2	-2	-2	-2	471	4	3	7	4	3	7	42	48	90	26	22	48	206	113	319	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	2166	12	16	30	42	24	68	334	232	566	183	108	291	731	480	1211	-2	-2	-2	-2	-2	-2	1302	860	13137	12245	10855	10697	46934	351	1514	8354	4433	32282	-2	-2	4.4	5.0	4.7	4.4	4.6	8.5	4.5	6.8	6.6	3.8	-2.0	-2.0	9908	30	31	61	169	168	337	755	808	1563	413	452	865	3516	3566	7082	-2	-2	-2	-2	-2	-2	9766	10050	12966	80	411	2263	1165	9047	76.4	76.3	82.0	69.1	74.2	78.3	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5
45	2009-10	South Carolina	1691	10	4	14	4	0	4	62	41	103	509	301	810	482	273	755	-2	-2	-2	-2	-2	-2	1811	3	8	11	6	8	14	55	36	91	507	291	798	527	366	893	-2	-2	-2	-2	-2	-2	1547	6	7	13	7	3	10	47	35	82	378	269	647	439	348	787	-2	-2	-2	-2	-2	-2	1220	3	3	6	10	3	13	23	23	46	292	176	468	358	320	678	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	6269	21	22	42	27	14	41	187	135	321	1686	1037	2723	1806	1307	3113	-2	-2	-2	-2	-2	-2	3727	2515	62997	55250	48408	44364	211019	751	3206	8850	82712	114591	-2	-2	2.7	3.3	3.2	2.7	3.0	5.6	1.3	3.6	3.3	2.7	-2.0	-2.0	40438	40	69	109	370	329	699	677	717	1394	6595	8530	15125	11078	11907	22985	-2	-2	-2	-2	-2	-2	37520	43104	59329	183	720	2122	24581	31563	68.2	59.6	97.1	65.7	61.5	72.8	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5
