FIPST	SURVYEAR	STATENAME	TOTD9	AMD9M	AMD9F	AMD9	ASD9M	ASD9F	ASD9	HID9M	HID9F	HID9	BLD9M	BLD9F	BLD9	WHD9M	WHD9F	WHD9	HPD9M	HPD9F	HPD9	TRD9M	TRD9F	TRD9	TOTD10	AMD10M	AMD10F	AMD10	ASD10M	ASD10F	ASD10	HID10M	HID10F	HID10	BLD10M	BLD10F	BLD10	WHD10M	WHD10F	WHD10	HPD10M	HPD10F	HPD10	TRD10M	TRD10F	TRD10	TOTD11	AMD11M	AMD11F	AMD11	ASD11M	ASD11F	ASD11	HID11M	HID11F	HID11	BLD11M	BLD11F	BLD11	WHD11M	WHD11F	WHD11	HPD11M	HPD11F	HPD11	TRD11M	TRD11F	TRD11	TOTD12	AMD12M	AMD12F	AMD12	ASD12M	ASD12F	ASD12	HID12M	HID12F	HID12	BLD12M	BLD12F	BLD12	WHD12M	WHD12F	WHD12	HPD12M	HPD12F	HPD12	TRD12M	TRD12F	TRD12	AMDUGM	AMDUGF	ASDUGM	ASDUGF	HIDUGM	HIDUGF	BLDUGM	BLDUGF	WHDUGM	WHDUGF	HPDUGM	HPDUGF	TRDUGM	TRDUGF	TOTD912	TOTDAMM	TOTDAMF	TOTDAM	TOTDASM	TOTDASF	TOTDAS	TOTDHIM	TOTDHIF	TOTDHI	TOTDBLM	TOTDBLF	TOTDBL	TOTDWHM	TOTDWHF	TOTDWH	TOTDHPM	TOTDHPF	TOTDHP	TOTDTRM	TOTDTRF	TOTDTR	TOTDM	TOTDF	G9	G10	G11	G12	EBS912	EBSAM	EBSAS	EBSHI	EBSBL	EBSWH	EBSHP	EBSTR	DRP9	DRP10	DRP11	DRP12	DRP912	DRPAM	DRPAS	DRPHI	DRPBL	DRPWH	DRPHP	DRPTR	TOTDPL	AMDPLM	AMDPLF	AMDPL	ASDPLM	ASDPLF	ASDPL	HIDPLM	HIDPLF	HIDPL	BLDPLM	BLDPLF	BLDPL	WHDPLM	WHDPLF	WHDPL	HPDPLM	HPDPLF	HPDPL	TRDPLM	TRDPLF	TRDPL	DPLM	DPLF	AFGEB	AFGEBAM	AFGEBAS	AFGEBHI	AFGEBBL	AFGEBWH	AFGR	AFGRAM	AFGRAS	AFGRHI	AFGRBL	AFGRWH	TOTOHC	AMOHCM	AMOHCF	AMOHC	ASOHCM	ASOHCF	ASOHC	HIOHCM	HIOHCF	HIOHC	BLOHCM	BLOHCF	BLOHC	WHOHCM	WHOHCF	WHOHC	HPOHCM	HPOHCF	HPOHC	TROHCM	TROHCF	TROHC	RACECAT
46	2009-10	South Dakota	184	56	64	120	0	0	0	3	5	8	4	3	7	30	19	49	-2	-2	-2	-2	-2	-2	267	58	64	122	4	0	4	9	6	15	3	3	6	73	47	120	-2	-2	-2	-2	-2	-2	258	34	45	79	4	3	7	10	6	16	6	4	10	88	58	146	-2	-2	-2	-2	-2	-2	291	29	34	63	0	3	3	6	3	9	6	3	9	118	89	207	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	1000	177	207	384	9	4	14	28	20	48	19	13	31	309	213	522	-2	-2	-2	-2	-2	-2	542	457	10286	9767	9174	8741	37968	3668	512	917	911	31960	-2	-2	1.8	2.7	2.8	3.3	2.6	10.5	2.7	5.2	3.4	1.6	-2.0	-2.0	8162	221	256	477	46	46	92	76	76	152	74	71	145	3665	3631	7296	-2	-2	-2	-2	-2	-2	8164	8160	9975	1004	95	207	181	8487	81.8	47.5	96.8	73.4	80.1	86.0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5
47	2009-10	Tennessee	1370	0	0	0	12	8	20	64	50	114	565	342	907	184	144	328	-2	-2	-2	-2	-2	-2	1579	0	3	3	11	4	15	62	47	109	568	332	900	363	189	552	-2	-2	-2	-2	-2	-2	1790	3	3	6	5	4	9	44	29	73	460	315	775	541	386	927	-2	-2	-2	-2	-2	-2	2843	3	6	9	10	3	13	48	30	78	529	424	953	1056	734	1790	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	7582	6	12	16	38	19	57	218	156	374	2122	1413	3535	2144	1453	3597	-2	-2	-2	-2	-2	-2	4528	3053	77576	73927	68012	66366	285881	582	4589	11426	72425	196859	-2	-2	1.8	2.1	2.6	4.3	2.7	2.7	1.2	3.3	4.9	1.8	-2.0	-2.0	62408	51	73	124	567	495	1062	1011	1035	2046	6901	8341	15242	22250	21684	43934	-2	-2	-2	-2	-2	-2	61560	63256	77610	148	1072	2621	20162	53607	80.4	83.8	99.1	78.1	75.6	82.0	2005	5	1	6	5	8	13	31	22	53	546	332	878	651	404	1055	-2	-2	-2	-2	-2	-2	5
48	2009-10	Texas	6945	25	20	45	30	15	45	2650	1672	4322	968	605	1573	591	361	952	-2	-2	-2	-2	-2	-2	8253	29	19	48	27	19	46	2868	2043	4911	1173	708	1881	793	523	1316	-2	-2	-2	-2	-2	-2	6824	15	11	26	34	18	52	2075	1690	3765	918	661	1579	805	596	1401	-2	-2	-2	-2	-2	-2	14048	37	29	66	66	55	121	3831	4511	8342	1505	1644	3149	1174	1196	2370	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	36070	106	79	183	157	107	262	11424	9916	21340	4564	3618	8182	3363	2676	6039	-2	-2	-2	-2	-2	-2	19614	16396	393182	335262	310288	291130	1329862	5070	49334	594431	194309	486718	-2	-2	1.8	2.5	2.2	4.8	2.7	3.6	0.5	3.6	4.2	1.2	-2.0	-2.0	280894	779	693	1472	5444	5046	10490	59739	61246	120985	18447	19044	37491	56687	53769	110456	-2	-2	-2	-2	-2	-2	282192	279596	355818	1212	10933	156223	53983	133466	78.9	100.0	95.9	77.4	69.4	82.8	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5
49	2009-10	Utah	207	4	4	8	3	5	8	30	29	59	3	0	3	74	52	126	-2	-2	-2	-2	-2	-2	555	16	12	28	10	10	20	97	73	170	4	7	11	172	153	325	-2	-2	-2	-2	-2	-2	927	19	16	35	17	14	31	141	119	260	10	11	21	311	264	575	-2	-2	-2	-2	-2	-2	2444	45	32	77	44	49	93	397	269	666	30	20	50	928	622	1550	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	4133	84	64	148	73	78	151	665	490	1155	47	39	85	1485	1091	2576	-2	-2	-2	-2	-2	-2	2354	1762	41440	40523	39538	39956	161457	2586	5362	21095	2262	125584	-2	-2	0.5	1.4	2.3	6.1	2.6	5.7	2.8	5.5	3.8	2.1	-2.0	-2.0	31481	213	229	442	571	542	1113	1443	1653	3096	194	173	367	13084	13273	26357	-2	-2	-2	-2	-2	-2	31010	31740	40035	770	1302	5110	526	32277	78.6	57.4	85.5	60.6	69.8	81.7	402	7	6	13	22	8	30	42	33	75	8	6	14	172	92	264	-2	-2	-2	-2	-2	-2	5
50	2009-10	Vermont	76	0	0	0	0	0	0	0	3	3	0	0	0	38	35	73	0	0	0	0	0	0	180	0	0	0	3	0	3	3	0	3	4	0	4	93	71	164	0	0	0	3	3	6	215	0	0	0	3	0	3	0	0	0	3	0	3	114	88	202	0	0	0	4	3	7	250	0	0	0	0	3	3	3	0	3	0	1	1	151	92	243	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	721	4	2	0	5	4	9	6	4	9	9	3	8	396	286	681	0	0	0	7	4	13	427	303	7456	7494	7219	7412	29581	108	419	349	544	27821	26	314	1.0	2.4	3.0	3.4	2.4	0.0	2.1	2.6	1.5	2.4	0.0	4.1	7199	13	19	32	95	89	184	43	38	81	71	48	119	3377	3347	6724	2	6	8	26	25	51	7254	7144	7874	45	111	73	116	7482	91.4	71.1	100.0	100.0	100.0	89.9	29	0	0	0	0	0	0	3	2	5	0	1	1	15	7	22	0	0	0	0	1	1	7
51	2009-10	Virginia	1741	0	3	3	20	18	38	193	143	336	480	273	753	314	238	552	-2	-2	-2	-2	-2	-2	1857	3	3	6	31	19	50	227	122	349	457	294	751	389	263	652	-2	-2	-2	-2	-2	-2	1934	0	3	3	43	29	72	210	175	385	426	278	704	428	303	731	-2	-2	-2	-2	-2	-2	2467	5	5	10	56	43	99	191	167	358	457	333	790	637	529	1166	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	7999	10	13	20	150	109	259	821	607	1428	1820	1178	2998	1768	1333	3101	-2	-2	-2	-2	-2	-2	4569	3240	104717	97969	90795	87839	381320	1273	22007	31200	99449	220316	-2	-2	1.7	1.9	2.1	2.8	2.1	1.6	1.2	4.6	3.0	1.4	-2.0	-2.0	81511	114	146	260	2582	2388	4970	2700	2808	5508	8951	10691	19642	24994	24866	49860	-2	-2	-2	-2	-2	-2	78682	81798	100422	305	4946	7258	27682	58705	81.2	85.2	100.0	75.9	71.0	84.9	7897	29	12	41	96	61	157	326	218	544	1910	1062	2972	2570	1519	4089	-2	-2	-2	-2	-2	-2	5
53	2009-10	Washington	2881	74	59	133	130	86	216	380	321	701	159	143	302	734	634	1368	-2	-2	-2	-2	-2	-2	2792	71	69	140	92	85	177	342	233	575	145	101	246	822	716	1538	-2	-2	-2	-2	-2	-2	3472	80	91	171	104	87	191	354	265	619	158	127	285	1193	909	2102	-2	-2	-2	-2	-2	-2	4815	128	94	222	154	121	275	381	312	693	200	122	322	1747	1300	3047	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	13960	353	313	666	480	379	859	1457	1131	2588	662	493	1155	4496	3559	8055	-2	-2	-2	-2	-2	-2	7448	5875	85551	81220	79585	83604	329960	8101	29059	44818	18846	222502	-2	-2	3.4	3.4	4.4	5.8	4.2	8.2	3.0	5.8	6.1	3.6	-2.0	-2.0	66046	700	737	1437	2957	2936	5893	3240	3731	6971	1497	1633	3130	22962	23162	46124	-2	-2	-2	-2	-2	-2	62712	64398	85554	2447	6790	10875	4969	59364	77.2	58.7	86.8	64.1	63.0	77.7	288	10	2	12	10	9	19	11	12	23	9	12	21	117	86	203	-2	-2	-2	-2	-2	-2	5
54	2009-10	West Virginia	809	0	3	3	0	0	0	3	0	3	35	19	54	476	273	749	0	0	0	0	0	0	848	0	0	0	3	0	3	5	6	11	31	25	56	431	344	775	0	0	0	0	3	3	839	0	0	0	0	0	0	6	4	10	18	22	40	421	368	789	0	0	0	0	0	0	798	0	0	0	0	0	0	7	3	10	30	21	51	405	332	737	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	3294	2	3	3	3	1	3	21	13	34	114	87	201	1733	1317	3050	0	0	0	3	3	3	1876	1424	23702	20696	19263	18688	82349	83	574	732	4416	76385	3	156	3.4	4.1	4.4	4.3	4.0	3.6	0.5	4.6	4.6	4.0	0.0	1.9	17651	6	15	21	75	67	142	76	61	137	420	430	850	8274	8202	16476	0	1	1	10	14	24	17722	17580	22555	27	141	183	1143	21060	78.3	77.8	100.0	74.9	74.4	78.2	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	7
55	2009-10	Wisconsin	971	11	8	19	14	11	25	87	92	179	314	266	580	101	67	168	-2	-2	-2	-2	-2	-2	611	10	10	20	9	7	16	62	40	102	176	141	317	89	67	156	-2	-2	-2	-2	-2	-2	1222	23	15	38	11	7	18	100	83	183	277	196	473	318	192	510	-2	-2	-2	-2	-2	-2	3260	84	61	145	52	46	98	219	176	395	420	311	731	1154	737	1891	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	6064	128	94	221	86	71	159	468	391	859	1187	914	2101	1662	1063	2725	-2	-2	-2	-2	-2	-2	3531	2533	69323	68291	70144	71242	279000	4228	9918	18200	27898	218756	-2	-2	1.4	0.9	1.7	4.6	2.2	5.2	1.6	4.7	7.5	1.2	-2.0	-2.0	64687	451	442	893	1116	1145	2261	1632	1732	3364	2376	2674	5050	26965	26154	53119	-2	-2	-2	-2	-2	-2	65080	64294	71018	1132	2382	4300	7656	55549	91.1	78.9	94.9	78.2	66.0	95.6	671	18	5	23	7	11	18	37	22	59	68	23	91	296	184	480	-2	-2	-2	-2	-2	-2	5
56	2009-10	Wyoming	215	23	21	44	0	0	0	0	0	0	3	0	3	82	51	133	0	0	0	20	15	35	516	26	29	55	3	0	3	0	0	0	10	4	14	202	134	336	0	0	0	67	41	108	389	16	10	26	0	0	0	0	0	0	5	4	9	173	120	293	0	0	0	25	36	61	460	11	14	25	0	0	0	0	0	0	6	8	14	204	141	345	0	0	0	43	33	76	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	1580	76	74	150	3	2	4	0	0	0	23	17	39	661	446	1107	0	1	0	145	122	280	908	662	6792	7031	6347	6160	26330	721	210	2751	297	22024	32	295	3.2	7.3	6.1	7.5	6.0	20.8	1.9	0.0	13.1	5.0	0.0	94.9	5695	49	59	108	19	30	49	250	250	500	27	35	62	2506	2412	4918	4	6	10	23	25	48	5756	5634	7092	287	71	673	108	5953	80.3	37.6	69.0	74.3	57.4	82.6	39	1	0	1	0	0	0	1	0	1	0	0	0	18	19	37	0	0	0	0	0	0	7
59	2009-10	Bureau of Indian Education (BIE)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5
60	2009-10	American Samoa	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5
63	2009-10	Department of Defense Education Activity (DoDEA)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5
66	2009-10	Guam	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5
69	2009-10	Northern Marianas Islands	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5
72	2009-10	Puerto Rico	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-2	-2	-2	-2	-2	-2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-2	-2	-2	-2	-2	-2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-2	-2	-2	-2	-2	-2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-2	-2	-2	-2	-2	-2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-2	-2	-2	-2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-2	-2	-2	-2	-2	-2	-9	-9	38831	38853	33727	29374	145172	17	26	144964	30	134	-2	-2	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-2.0	-2.0	25514	1	0	1	3	2	5	11302	14179	25481	3	6	9	6	12	18	-2	-2	-2	-2	-2	-2	22630	28398	42410	0	0	42398	0	13	60.2	-2.0	-2.0	60.1	-2.0	100.0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5
78	2009-10	U.S. Virgin Islands	122	0	0	0	0	0	0	14	11	25	57	40	97	0	0	0	-2	-2	-2	-2	-2	-2	68	0	0	0	0	0	0	6	3	9	40	19	59	0	0	0	-2	-2	-2	-2	-2	-2	53	0	0	0	0	0	0	4	4	8	33	12	45	0	0	0	-2	-2	-2	-2	-2	-2	38	0	0	0	0	0	0	4	4	8	18	12	30	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	281	0	0	0	1	0	0	28	22	48	148	83	232	0	3	0	-2	-2	-2	-2	-2	-2	177	108	1685	1242	1133	1024	5084	8	11	652	4379	34	-2	-2	7.2	5.5	4.7	3.7	5.5	0.0	0.0	7.4	5.3	0.0	-2.0	-2.0	958	1	3	4	1	1	2	43	62	105	360	482	842	3	2	5	-2	-2	-2	-2	-2	-2	816	1100	1462	3	3	186	1261	9	65.5	100.0	66.7	56.5	66.8	55.6	21	0	0	0	0	0	0	0	0	0	15	6	21	0	0	0	-2	-2	-2	-2	-2	-2	5
